English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
organize,"<img src=""organize.jpg"">",/ˈɔːr.ɡə.naɪz/,[sound:organize.mp3],"tổ chức, sắp xếp",She helped {{c1::organize}} the upcoming charity event.,"Sắp xếp, thiết lập hệ thống hoặc chuẩn bị cho một sự kiện, công việc hoạt động một cách trật tự và hiệu quả.",To arrange or order things systematically; to plan or prepare an activity or event.,"organize an event, organize a meeting, organize files","Syn: arrange, systemize, plan | Ant: disorganize, mess up",get organized (chuẩn bị sẵn sàng/ngăn nắp),"Gốc từ Hy Lạp 'organon' (công cụ, cơ quan) + hậu tố động từ '-ize' (làm cho, hóa).","Neutral. Sử dụng phổ biến trong cả giao tiếp hàng ngày, học thuật lẫn công sở."
organise,"<img src=""organise.jpg"">",/ˈɔːɡənaɪz/,[sound:organise.mp3],"tổ chức, sắp xếp",She needs to {{c1::organise}} her work schedule more effectively.,"Hành động sắp xếp, cấu trúc hoặc chuẩn bị cho một sự kiện, công việc hoặc kế hoạch một cách trật tự.",To arrange or order things so that they can be found or used easily.,"organise an event, organise files, well-organised","Syn: arrange, plan | Ant: disorganize, confuse",get organised,"Root: organ (cơ quan, công cụ) + Suffix: -ise (động từ hóa)",Neutral - Dùng phổ biến trong giao tiếp hàng ngày và công việc.
responsible,"<img src=""responsible.jpg"">",/rɪˈspɑːn.sə.bəl/,[sound:responsible.mp3],"chịu trách nhiệm, đáng tin cậy",Parents are {{c1::responsible}} for the safety of their children.,"Có nghĩa vụ pháp lý hoặc đạo đức phải chăm sóc, thực hiện hoặc chịu hậu quả của việc gì; cũng chỉ người đáng tin cậy.",Having a duty to deal with something or having control over someone; trustworthy and reliable.,"responsible for something, hold somebody responsible, highly responsible","Syn: accountable, liable, dependable | Ant: irresponsible, reckless",be responsible for,"Tiền tố 're-' (lại, phản hồi) + gốc Latinh 'spondere' (hứa hẹn, cam kết) + hậu tố tính từ '-ible' (có thể).",Neutral. Phù hợp cho mọi ngữ cảnh từ trang trọng đến thường nhật.
careful,"<img src=""careful.jpg"">",/ˈker.fəl/,[sound:careful.mp3],"cẩn thận, thận trọng",Please be {{c1::careful}} with that fragile vase.,"Chú ý né tránh nguy hiểm, sai sót hoặc thiệt hại; làm việc gì đó một cách tỉ mỉ, chu đáo.","Making sure of avoiding danger, mistakes, or damage; paying close attention to details.","be careful with/about, careful consideration, careful planning","Syn: cautious, prudent, attentive | Ant: careless, reckless",be careful of (cẩn thận về cái gì),"Gốc danh từ/động từ 'care' (sự lo lắng, chăm sóc) + hậu tố tính từ '-ful' (đầy, có tính chất).",Neutral. Sử dụng cực kỳ phổ biến trong đời sống hàng ngày.
cautious,"<img src=""cautious.jpg"">",/ˈkɔː.ʃəs/,[sound:cautious.mp3],"thận trọng, cẩn trọng",Investors are extremely {{c1::cautious}} about putting money into the new market.,Cẩn thận tránh nguy hiểm hoặc rủi ro không cần thiết.,Careful to avoid potential problems or dangers.,"cautious approach, extremely cautious, cautious optimism","Syn: careful, prudent | Ant: reckless, careless",err on the side of caution (thà cẩn trọng quá mức còn hơn),Danh từ caution (sự cẩn trọng) + hậu tố tính từ -ous,Neutral - Thích hợp trong mọi ngữ cảnh.
meticulous,"<img src=""meticulous.jpg"">",/məˈtɪk.jə.ləs/,[sound:meticulous.mp3],"tỉ mỉ, kỹ lưỡng",He paid {{c1::meticulous}} attention to every detail in the report.,"Rất cẩn thận, chú ý đến từng chi tiết nhỏ nhất.",Showing great attention to detail; very careful and precise.,"meticulous planning, meticulous research, meticulous work","Syn: thorough, precise | Ant: careless, sloppy",meticulous in one's work (tỉ mỉ trong công việc),"Gốc Latin metus (nỗi sợ) -> meticulosus (sợ sai, cẩn thận quá mức)",Formal / Academic - Mang nghĩa tích cực khi khen sự kỹ lưỡng.
careless,"<img src=""careless.jpg"">",/ˈkeələs/,[sound:careless.mp3],"cẩu thả, bất cẩn",A {{c1::careless}} mistake caused the team to lose the game.,"Không chú ý hoặc không cẩn thận, dẫn đến sai sót hoặc hậu quả không mong muốn.",Not giving sufficient attention or thought to avoiding mistakes or damage.,"careless mistake, careless driving, careless attitude","Syn: negligent, inattentive | Ant: careful, cautious",careless whisper,"Root: care (chăm sóc, chú ý) + Suffix: -less (thiếu, không)",Neutral - Dùng phổ biến trong giao tiếp hàng ngày.
reckless,"<img src=""reckless.jpg"">",/ˈrek.ləs/,[sound:reckless.mp3],"liều lĩnh, coi thường rủi ro",His {{c1::reckless}} driving endangered the lives of pedestrians.,"Hành động thiếu suy nghĩ, không quan tâm đến hậu quả nguy hiểm.",Without thinking or caring about the consequences of an action.,"reckless driving, reckless behavior, reckless disregard","Syn: rash, careless | Ant: cautious, prudent",reckless abandon (sự buông thả liều lĩnh),Danh từ cổ reck (sự quan tâm/lo lắng) + hậu tố -less (thiếu/không),Neutral / Informal - Mang sắc thái tiêu cực mạnh.
individual,"<img src=""individual.jpg"">",/ˌɪn.dəˈvɪdʒ.u.əl/,[sound:individual.mp3],"cá nhân, riêng biệt",Each {{c1::individual}} has a unique set of skills.,"Một con người hoặc vật riêng lẻ, phân biệt với một tập thể hoặc nhóm lớn hơn.","A single human being as distinct from a group, class, or family.","individual needs, private individual, respect individual differences","Syn: person, single, distinct | Ant: collective, group",none,"Tiền tố phủ định 'in-' (không) + gốc Latinh 'dividuus' (có thể chia rẽ, từ 'dividere') -> Không thể chia nhỏ hơn nữa.","Neutral to Formal. Rất thông dụng trong học thuật, văn bản pháp luật và nghiên cứu xã hội."
person,"<img src=""person.jpg"">",/ˈpɜːsn/,[sound:person.mp3],"người, cá nhân",She is a very kind {{c1::person}} who loves helping others.,"Một con người cụ thể, một cá nhân trong xã hội.",A human being regarded as an individual.,"in person, private person, contact person","Syn: individual, human | Ant: group, collective",a people person,"Latin: persona (mặt nạ, vai diễn, cá nhân)",Neutral - Từ cơ bản dùng trong mọi hoàn cảnh.
