English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
avoiding all mistakes,"<img src=""avoiding.jpg"">",/əˈvɔɪdɪŋ ɔːl mɪsˈteɪks/,[sound:avoiding.mp3],tránh mọi sai sót,"In language learning, {{c1::avoiding all mistakes}} can actually hinder your progress and fluency.","Hành vi cố gắng không phạm bất kỳ lỗi lầm nào, thường liên quan đến chủ nghĩa hoàn hảo hoặc nỗi sợ thất bại.",The practice or attempt of trying not to make any errors or faults.,"aim for avoiding all mistakes, obsessed with avoiding all mistakes","Syn: error prevention, perfectionism / Ant: making mistakes, trial and error",play it safe (chơi an toàn),avoiding (Gerund of 'avoid' - gốc Latin 'evitare' nghĩa là tránh né) + all + mistakes (số nhiều của 'mistake' - gốc Old Norse 'mistaka'),"Neutral. Thường dùng trong bối cảnh giáo dục, phát triển bản thân và tâm lý học học thuật."
directions,"<img src=""directions.jpg"">",/daɪˈrek.ʃənz/,[sound:directions.mp3],"hướng dẫn, chỉ dẫn, phương hướng",Please read the {{c1::directions}} carefully before you start assembling the desk.,"Các chỉ dẫn chi tiết về cách thực hiện một công việc, cách sử dụng một thiết bị hoặc cách đi đến một địa điểm.","Instructions on how to do something, use something, or reach a destination.","follow directions, give directions, ask for directions","Syn: instructions, guidelines, indications / Ant: misdirection",lose one's bearings (mất phương hướng),"gốc từ 'direct' (chỉ đường, trực tiếp - từ Latin 'dirigere') + hậu tố danh từ '-ion' + số nhiều '-s'","Neutral/Formal. Dùng phổ biến từ đời sống hàng ngày (chỉ đường) đến môi trường học tập, công sở (hướng dẫn công việc)."
struggle,"<img src=""struggle.jpg"">",/ˈstrʌɡ.əl/,[sound:struggle.mp3],"vật lộn, đấu tranh, gặp khó khăn",Many international students {{c1::struggle}} with homesickness during their first semester abroad.,"Nỗ lực hết sức để vượt qua khó khăn, nghịch cảnh hoặc giải quyết một vấn đề cực kỳ hóc búa.",To make a forceful effort to get free of restraint or to overcome difficulty.,"struggle to cope, internal struggle, struggle for survival","Syn: strive, grapple, fight / Ant: surrender, yield, capitulate",struggle along (tiếp tục vật lộn sống qua ngày),"Từ tiếng Anh trung cổ 'struglen', có thể có nguồn gốc từ vùng Scandinavia, mô tả sự nỗ lực cơ thể hoặc tinh thần.","Neutral. Được dùng trong cả đời sống hàng ngày, văn học lẫn văn bản học thuật để chỉ những khó khăn mang tính thử thách."
practical,"<img src=""practical.jpg"">",/ˈpræk.tɪ.kəl/,[sound:practical.mp3],"thực tế, thực tiễn",The vocational school provides {{c1::practical}} training for aspiring mechanics.,"Liên quan đến kinh nghiệm thực tế, hành động hoặc việc áp dụng thực tế hơn là lý thuyết thuần túy.","Relating to experience, hands-on practice, or use rather than theory.","practical advice, practical experience, practical solution","Syn: pragmatic, realistic, hands-on / Ant: theoretical, impractical, abstract","down-to-earth (thực tế, không viển vông)",gốc Hy Lạp 'praktikos' (liên quan đến hành động) + hậu tố tính từ '-al' (thuộc về),"Neutral. Được dùng rất phổ biến trong giáo dục, công việc, kỹ thuật để nhấn mạnh tính ứng dụng cao."
avoiding reflection,"<img src=""avoiding.jpg"">",/əˈvɔɪdɪŋ rɪˈflek.ʃən/,[sound:avoiding.mp3],"né tránh tự ngẫm, trốn tránh suy xét bản thân","By keeping busy constantly, he was {{c1::avoiding reflection}} on his unhappy marriage.","Hành động cố ý hoặc vô ý lảng tránh việc suy nghĩ sâu sắc về hành vi, cảm xúc, trải nghiệm hoặc sai lầm của chính mình.","The act of dodging deep, critical thinking about one's own actions, feelings, or choices.","consequences of avoiding reflection, deliberate avoiding reflection","Syn: self-evasion, mindless distraction / Ant: self-reflection, introspection",bury one's head in the sand (trốn tránh thực tế),"avoiding (Gerund) + reflection (danh từ từ 'reflect', tiền tố 're-' quay lại + gốc Latin 'flectere' uốn cong)","Academic/Formal. Thường xuất hiện trong nghiên cứu tâm lý học, bài viết triết học hoặc giáo dục tự chủ."
academic performance,"<img src=""academic.jpg"">",/ˌæk.əˈdem.ɪk pəˈfɔː.məns/,[sound:academic.mp3],"thành tích học tập, kết quả học tập",Consistent study habits are directly linked to high {{c1::academic performance}}.,"Kết quả học tập của học sinh hoặc sinh viên được đo lường thông qua các bài kiểm tra, điểm số (GPA) hoặc đánh giá của giáo viên.",The measurement of student achievement across various academic subjects.,"improve academic performance, poor academic performance, track academic performance","Syn: academic achievement, scholastic performance",make the grade (đạt tiêu chuẩn học thuật hoặc công việc),"academic (thuộc học thuật, từ 'Academy' - vườn cây của Academus nơi Plato giảng dạy) + performance (kết quả thực hiện, gốc Pháp cổ 'parformer')","Formal/Academic. Được sử dụng chủ yếu trong báo cáo giáo dục, nghiên cứu trường học và trao đổi sư phạm."
achievement,"<img src=""achievement.jpg"">",/əˈtʃiːv.mənt/,[sound:achievement.mp3],"thành tựu, thành tích",Winning the science fair was a remarkable {{c1::achievement}} for the school.,"Một điều gì đó đạt được một cách thành công, đặc biệt là thông qua sự nỗ lực, kỹ năng hoặc lòng dũng cảm.","A thing done successfully, typically by effort, courage, or skill.","sense of achievement, outstanding achievement, academic achievement","Syn: accomplishment, attainment, triumph / Ant: failure, defeat",a feather in one's cap (thành tựu đáng tự hào),"achieve (đạt được, gốc Pháp cổ 'achever' - mang lại kết cục tốt) + hậu tố danh từ '-ment' (chỉ hành động, kết quả)",Neutral/Formal. Được sử dụng trong mọi ngữ cảnh để tôn vinh sự thành công và nỗ lực cá nhân hay tập thể.
compare,"<img src=""compare.jpg"">",/kəmˈpeər/,[sound:compare.mp3],so sánh,It is not fair to {{c1::compare}} a beginner's work with that of a professional.,Xem xét hoặc đánh giá sự giống nhau và khác nhau giữa hai hay nhiều người hoặc sự vật.,"To estimate, measure, or note the similarity or dissimilarity between.","compare A with B, compare A to B, compare favorably","Syn: contrast, parallel, equate / Ant: contrast (khi chỉ nhấn mạnh sự khác biệt trái ngược)",compare apples to oranges (so sánh khập khiễng),"tiền tố Latin 'com-' (cùng nhau) + 'par' (bằng nhau, ngang hàng)","Neutral. Là từ vựng nền tảng, dùng cực kỳ phổ biến trong giao tiếp hàng ngày lẫn phân tích dữ liệu nghiên cứu."
confidence,"<img src=""confidence.jpg"">",/ˈkɒn.fɪ.dəns/,[sound:confidence.mp3],"sự tự tin, lòng tin tưởng",Practicing public speaking helped build her {{c1::confidence}} on stage.,"Cảm giác tin tưởng chắc chắn vào khả năng, phẩm chất hoặc phán đoán của bản thân hoặc của người khác.",The feeling or belief that one can rely on someone or something; self-assurance.,"gain confidence, boost confidence, lack confidence","Syn: self-assurance, certainty, faith / Ant: insecurity, self-doubt, diffidence","in confidence (nói bí mật, tin cậy)","tiền tố 'con-' (hoàn toàn, cùng nhau) + gốc Latin 'fidere' (tin tưởng) + hậu tố danh từ '-ence'","Neutral. Dùng rộng rãi trong đời sống hàng ngày, tâm lý học ứng dụng, rèn luyện kỹ năng mềm."
courage,"<img src=""courage.jpg"">",/ˈkʌr.ɪdʒ/,[sound:courage.mp3],"lòng dũng cảm, sự can đảm",The firefighters showed great {{c1::courage}} when rescuing people from the burning building.,"Khả năng đối mặt với nỗi sợ hãi, khó khăn, nguy hiểm hoặc đau đớn mà không bị khuất phục.",The ability to do something that frightens one; bravery.,"moral courage, find the courage to, pluck up courage","Syn: bravery, valor, fortitude / Ant: cowardice, fearfulness","take heart (lấy lại can đảm), screw up one's courage (thu hết can đảm)",gốc Pháp cổ 'corage' (từ 'cor' trong tiếng Latin có nghĩa là trái tim - biểu tượng của dũng khí),"Neutral/Formal. Thường mang sắc thái tích cực, ca ngợi phẩm chất tốt đẹp của con người."
curiosity,"<img src=""curiosity.jpg"">",/ˌkjʊə.riˈɒs.ə.ti/,[sound:curiosity.mp3],"sự tò mò, tính hiếu kỳ",Her intense {{c1::curiosity}} about outer space led her to study astrophysics.,"Khát khao, mong muốn mạnh mẽ được biết, được tìm hiểu hoặc khám phá về một điều gì đó.",A strong desire to know or learn something.,"intellectual curiosity, satisfy curiosity, spark curiosity","Syn: inquisitiveness, interest, nosiness / Ant: apathy, indifference",curiosity killed the cat (tò mò hại thân),"từ tính từ 'curious' (gốc Latin 'curiosus' - cẩn thận, tò mò) + hậu tố danh từ '-ity' (chỉ trạng thái, phẩm chất)","Neutral. Thường mang nghĩa tích cực trong học tập, khoa học; có thể mang nghĩa hơi tọc mạch trong đời sống xã hội."
direction,"<img src=""direction.jpg"">",/daɪˈrek.ʃən/,[sound:direction.mp3],"phương hướng, hướng đi",The project was heading in the wrong {{c1::direction}} until they changed the strategy.,"Con đường hoặc hướng di chuyển của một người, vật; hoặc mục tiêu phát triển tổng thể của một dự án, cuộc đời.","A course along which someone or something moves, or the general path/aim of development.","sense of direction, change direction, clear direction","Syn: course, trend, path, route",in the right direction (đi đúng hướng),gốc động từ 'direct' (từ Latin 'dirigere' - hướng thẳng) + hậu tố danh từ '-ion' (chỉ hành động/trạng thái),"Neutral. Dùng cả theo nghĩa đen (hướng đi vật lý trên bản đồ) và nghĩa bóng (mục tiêu cuộc đời, chiến lược công ty)."
discussion,"<img src=""discussion.jpg"">",/dɪˈskʌʃ.ən/,[sound:discussion.mp3],"sự thảo luận, cuộc thảo luận",We had a lively {{c1::discussion}} about the benefits of online learning.,"Cuộc đối thoại hoặc trò chuyện nhóm nhằm trao đổi ý kiến, giải quyết vấn đề hoặc đạt được một thỏa thuận chung.",The action or process of talking about something in order to reach a decision or to exchange ideas.,"hold a discussion, panel discussion, under discussion","Syn: debate, conversation, deliberation, dialogue",open to discussion (có thể thương lượng/bàn bạc lại),"từ động từ 'discuss' (gốc Latin 'discussus' - chia rẽ, điều tra kỹ) + hậu tố danh từ '-ion'","Neutral/Formal. Phổ biến trong học tập, các cuộc họp công sở và hội nghị khoa học."
effectively,"<img src=""effectively.jpg"">",/ɪˈfek.tɪv.li/,[sound:effectively.mp3],một cách hiệu quả,The manager allocated resources {{c1::effectively}} to finish the project ahead of schedule.,Thực hiện một hành động theo cách mang lại kết quả như mong đợi hoặc tạo ra ấn tượng sâu sắc.,In a way that is successful in producing a desired or intended result.,"communicate effectively, work effectively, manage effectively","Syn: efficiently, successfully, productively / Ant: ineffectively, inefficiently",do the trick (đạt hiệu quả nhanh chóng),danh từ 'effect' (gốc Latin 'effectus') + hậu tố tính từ '-ive' + hậu tố trạng từ '-ly',"Neutral/Formal. Được sử dụng vô cùng rộng rãi trong văn phong công việc, kinh tế, giáo dục và bài thi viết Academic."
evidence,"<img src=""evidence.jpg"">",/ˈev.ɪ.dəns/,[sound:evidence.mp3],"bằng chứng, chứng cứ",There is no scientific {{c1::evidence}} to support the claim that this plant cures cancer.,"Các dữ liệu, sự thật hoặc thông tin thực tế chứng minh một nhận định, lý thuyết hoặc cáo buộc là đúng sự thật.",The available body of facts or information indicating whether a belief or proposition is true or valid.,"concrete evidence, scientific evidence, gather evidence","Syn: proof, confirmation, testimony / Ant: disproof, refutation","in evidence (rõ ràng, dễ thấy)","gốc Latin 'evidens' (rõ ràng, hiển nhiên), cấu thành từ tiền tố 'e-' (ra ngoài) + 'videre' (nhìn thấy)","Formal/Academic. Rất phổ biến trong khoa học thực nghiệm, tòa án pháp lý và các bài luận lập luận logic."
excessive,"<img src=""excessive.jpg"">",/ekˈses.ɪv/,[sound:excessive.mp3],"quá mức, quá đáng, thái quá",Doctors warn that {{c1::excessive}} consumption of sugar can lead to diabetes.,"Vượt quá mức độ thông thường, hợp lý, cần thiết hoặc an toàn.","More than is necessary, normal, or desirable; immoderate.","excessive drinking, excessive speed, excessive force","Syn: exorbitant, disproportionate, surplus / Ant: moderate, insufficient, reasonable","to a fault (đến mức thái quá, quá mức tốt)","động từ 'exceed' (vượt quá, từ Latin 'excedere') + hậu tố tính từ '-ive' (có tính chất gì)",Neutral/Formal. Thường mang sắc thái cảnh báo hoặc mô tả tiêu cực về các trạng thái mất cân bằng.
explore,"<img src=""explore.jpg"">",/ɪkˈsplɔːr/,[sound:explore.mp3],"khám phá, thám hiểm, tìm hiểu sâu",The program encourages students to {{c1::explore}} different career options.,"Đi đến một khu vực mới lạ để tìm hiểu thực địa, hoặc nghiên cứu cặn kẽ một ý tưởng, chủ đề hoặc giải pháp.","To travel through an unfamiliar area to learn about it, or to examine something systematically and in detail.","explore options, explore possibilities, explore the world","Syn: investigate, examine, scout, analyze / Ant: ignore, neglect","leave no stone unturned (lục tung mọi ngõ ngách, tìm mọi cách)","gốc Latin 'explorare' (tìm kiếm, trinh sát, ban đầu có nghĩa là kêu gào gọi chó săn ra)",Neutral. Sử dụng linh hoạt từ thám hiểm địa lý thực tế đến nghiên cứu lý thuyết trong học thuật.
flexible,"<img src=""flexible.jpg"">",/ˈflek.sə.bəl/,[sound:flexible.mp3],"linh hoạt, mềm dẻo",We need to adopt a more {{c1::flexible}} approach to meet the changing needs of customers.,Có thể uốn cong dễ dàng mà không gãy; hoặc có khả năng thích ứng linh hoạt trước những thay đổi của hoàn cảnh.,"Capable of bending easily without breaking, or able to adapt to different circumstances easily.","flexible schedule, flexible working hours, flexible approach","Syn: adaptable, versatile, pliable / Ant: rigid, stiff, inflexible","go with the flow (thuận theo tự nhiên, linh hoạt xử lý)","gốc 'flex' (uốn cong, từ Latin 'flectere') + hậu tố tính từ khả năng '-ible' (có thể)","Neutral. Được đánh giá rất tích cực khi nói về tính cách, quy trình làm việc hiện đại hay vật liệu kỹ thuật."
handle,"<img src=""handle.jpg"">",/ˈhæn.dəl/,[sound:handle.mp3],"xử lý, giải quyết, quán xuyến",She has shown that she can {{c1::handle}} high levels of pressure in her job.,"Quản lý, kiểm soát hoặc giải quyết thành công một công việc, tình huống khó khăn hoặc đối phó với một người.","To manage, deal with, or take responsibility for a situation, object, or person.","handle pressure, handle a situation, handle with care","Syn: manage, tackle, cope with / Ant: mismanage, bungle, ignore","handle with kid gloves (đối xử cực kỳ tế nhị, nhẹ nhàng)",gốc từ 'hand' (bàn tay) + hậu tố chỉ công cụ hoặc hành động lặp lại '-le' (dùng tay tác động trực tiếp),Neutral. Rất thông dụng trong giao tiếp hàng ngày và quản trị công sở.
