English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
continually,,/kənˈtɪn.ju.ə.li/,[sound:continually.mp3],"liên tục, lặp đi lặp lại",He {{c1::continually}} interrupts me when I am trying to speak.,"Diễn tả hành động xảy ra lặp đi lặp lại nhiều lần, thường gây ra cảm giác khó chịu hoặc ngắt quãng.","Repeatedly, especially in an annoying or frustrating way.","continually complain, continually evolve, continually change","Syn: repeatedly, constantly | Ant: occasionally, rarely",keep on (tiếp tục làm gì),continue (động từ gốc) + -al (hậu tố tính từ) + -ly (hậu tố trạng từ),Neutral/Academic - Dùng phổ biến trong cả giao tiếp và văn viết.
praise,"<img src=""praise.jpg"">",/preɪz/,[sound:praise.mp3],"khen ngợi, lời tán dương",The teacher liked to {{c1::praise}} students for their hard work.,"Tán thưởng, bày tỏ sự ngưỡng mộ hoặc đánh giá cao ai đó/điều gì đó.",Express warm approval or admiration of.,"high praise, praise highly, deserve praise","Syn: compliment, applaud | Ant: criticize, blame",sing someone's praises,"preisier (gốc tiếng Pháp cổ: định giá, coi trọng)",Neutral - Phổ biến trong đời sống hàng ngày.
decrease,"<img src=""decrease.jpg"">",/dɪˈkriːs/,[sound:decrease.mp3],"giảm sút, suy giảm",The company hopes to {{c1::decrease}} operational costs this year.,"Làm cho cái gì đó trở nên ít đi hoặc bé đi về số lượng, kích thước, mức độ hay giá trị.","To become smaller or less in size, amount, or degree.","decrease significantly, decrease in value, gradual decrease","Syn: reduce, decline | Ant: increase, expand",cut down on (giảm bớt),"de- (tiền tố: xuống, giảm) + crease (ngữ căn: lớn lên, tăng)","Neutral/Formal - Dùng phổ biến trong báo chí, kinh tế và giao tiếp hàng ngày."
overly,"<img src=""overly.jpg"">",/ˈoʊ.vɚ.li/,[sound:overly.mp3],"quá mức, quá đáng",You shouldn't be {{c1::overly}} concerned about minor details.,"Mức độ quá đà, hơn mức cần thiết hoặc hợp lý.",To an excessive degree; excessively.,"overly sensitive, overly cautious, overly complex","Syn: excessively, unduly | Ant: moderately, insufficiently",go overboard (làm quá),over (tiền tố/gốc: quá) + -ly (hậu tố trạng từ),Neutral - Sử dụng rộng rãi trong cả giao tiếp hàng ngày và văn bản.
moderately,"<img src=""moderately.jpg"">",/ˈmɑː.dɚ.ət.li/,[sound:moderately.mp3],ở mức độ vừa phải,Exercise {{c1::moderately}} to maintain good health without causing injury.,"Ở mức vừa đủ, hợp lý, không quá nhiều cũng không quá ít.",To a reasonable or moderate extent; not excessively.,"moderately successful, moderately active, moderately priced","Syn: reasonably, somewhat | Ant: extremely, excessively",strike a balance (giữ sự cân bằng),moderate (tính từ gốc) + -ly (hậu tố trạng từ),"Neutral/Formal - Thích hợp cho các báo cáo, văn viết khoa học và giao tiếp lịch sự."
unattainable,,/ˌʌn.əˈteɪ.nə.bəl/,[sound:unattainable.mp3],không thể đạt được,Setting {{c1::unattainable}} goals will only lead to disappointment.,"Mô tả mục tiêu, tiêu chuẩn hay ước mơ vượt quá khả năng thực hiện.",Not able to be reached or achieved.,"unattainable goal, unattainable standard, virtually unattainable","Syn: unreachable, impossible | Ant: attainable, achievable",reach for the stars (mơ ước cao xa),un- (tiền tố phủ định) + attain (động từ: đạt được) + -able (hậu tố: có thể),"Neutral/Formal - Thường dùng trong quản trị, tâm lý học và đời sống."
possible,"<img src=""possible.jpg"">",/ˈpɑː.sə.bəl/,[sound:possible.mp3],"có thể, khả thi",It is {{c1::possible}} to finish the assignment before midnight.,"Có thể xảy ra, làm được hoặc tồn tại.",Able to be done or achieved; able to happen.,"as soon as possible, possible outcome, highly possible","Syn: feasible, likely | Ant: impossible, unlikely",within the realm of possibility (trong tầm khả năng),poss- (ngữ căn: có khả năng) + -ible (hậu tố tính từ),"Neutral - Từ cơ bản, sử dụng trong mọi ngữ cảnh."
internal,"<img src=""internal.jpg"">",/ɪnˈtɝː.nəl/,[sound:internal.mp3],"bên trong, nội bộ",The company conducted an {{c1::internal}} investigation into the matter.,"Thuộc về phía bên trong của một vật thể, cơ thể, hoặc cấu trúc nội bộ của một tổ chức.",Existing or occurring inside something or someone.,"internal organs, internal affairs, internal conflict","Syn: inner, interior | Ant: external, outer",look inward (nhìn lại bản thân),intern- (ngữ căn: bên trong) + -al (hậu tố tính từ),"Neutral/Formal - Dùng nhiều trong y học, quản trị doanh nghiệp và chính trị."
outer,"<img src=""outer.jpg"">",/ˈaʊ.t̬ɚ/,[sound:outer.mp3],"bên ngoài, phía ngoài",Astronauts travel to {{c1::outer}} space to explore new worlds.,"Nằm ở phía bên ngoài, cách xa trung tâm.",On the outside or further from the center.,"outer space, outer layer, outer edge","Syn: exterior, external | Ant: inner, internal",outer limits (giới hạn xa nhất),out (gốc: ngoài) + -er (hậu tố chỉ vị trí/so sánh),"Neutral - Dùng phổ biến trong khoa học, đời sống và mô tả không gian."
external,"<img src=""external.jpg"">",/ɪkˈstɝː.nəl/,[sound:external.mp3],"bên ngoài, ngoại nhập",The building was damaged by {{c1::external}} forces during the storm.,"Thuộc về bề mặt ngoài, hoặc đến từ môi trường bên ngoài tổ chức/hệ thống.",Belonging to or forming the outer surface or structure of something.,"external pressure, external audit, external factors","Syn: outer, exterior | Ant: internal, inner",externalize thoughts (bộc lộ suy nghĩ ra ngoài),extern- (ngữ căn: bên ngoài) + -al (hậu tố tính từ),"Formal/Academic - Dùng nhiều trong kinh tế, khoa học và báo cáo."
